time_s,motor_command,active_power_w,current_ma,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,weightonbit,drillz1position_m,ROP_ms,s_active_power_w,s_current_ma,s_tacho_rpm,s_imu_x_g,s_imu_y_g,s_imu_z_g,s_weightonbit,s_ROP_ms,air,mud,concrete,wet_mud,y_air,y_mud,y_concrete,y_wet_mud
400,1000,565.45294,526.73004,0,.2335,.264,.94029999,-34.981,-.0035375,3500.0034,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.85302788,.69582367,1,0,0,0,.9983234475111684,.0012647778563344,.0005070263577706,1.32542596175e-06
401,1000,565.45294,526.73004,0,.2335,.264,.94029999,-34.981,-.0035999999,3124.9949,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.85302788,.46200991,1,0,0,0,.9983243614081099,.0012636522816685,.0005066221533249,1.32494175562e-06
402,1000,565.45294,526.73004,0,.2335,.264,.94029999,50.593,-.0036225,1125.0027,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.91721016,-.78496337,1,0,0,0,.9983913550940255,.0012108234369428,.00049603252381,1.29604846859e-06
403,1000,565.45294,526.73004,0,.2335,.264,.94029999,50.593,-.0036774999,2749.9976,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.91721016,.22820318,1,0,0,0,.9984016607099646,.0012031093973102,.0004946187848345,1.29172203798e-06
404,1000,565.45294,526.73004,0,.2335,.264,.94029999,50.593,-.0037799999,5124.998,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.91721016,1.7089901,1,0,0,0,.9984075238074454,.0011989448195983,.0004936875921412,1.28950139492e-06
405,1000,565.45294,526.73004,0,.2335,.264,.94029999,-13.658,-.0038000001,1000.0076,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.86902058,-.86289644,1,0,0,0,.9983383316582431,.0012513070184464,.0005032374724511,1.31854849561e-06
406,1000,565.45294,526.73004,0,.2335,.264,.94029999,-13.658,-.0038650001,3250.0015,-.42166525,-.45304146,-1.0933483,.91379774,.065257326,.27305213,.86902058,.53995013,1,0,0,0,.9983721062957475,.0012261365212878,.00049913646978,1.30453552484e-06
407,1000,565.45294,526.73004,0,.23289999,.26230001,.94410002,28.477,-.0039400002,3750.0054,-.42166525,-.45304146,-1.0933483,.91224974,.055946045,.28728953,.90062273,.85169715,1,0,0,0,.9984014517161188,.0012033859340721,.0004946339360548,1.29192539416e-06
408,1000,565.45294,526.73004,0,.23289999,.26230001,.94410002,28.477,-.0039625,1124.9911,-.42166525,-.45304146,-1.0933483,.91224974,.055946045,.28728953,.90062273,-.78497064,1,0,0,0,.9983829304304893,.0012170773564617,.000497057789264,1.29966468527e-06
409,1000,565.45294,526.73004,0,.23289999,.26230001,.94410002,28.477,-.0040675001,5250.0049,-.42166525,-.45304146,-1.0933483,.91224974,.055946045,.28728953,.90062273,1.7869304,1,0,0,0,.9984040435886156,.0012016494675366,.0004941181764399,1.29110877042e-06
410,1000,565.45294,526.73004,0,.23289999,.26230001,.94410002,8.497,-.0041350001,3374.9968,-.42166525,-.45304146,-1.0933483,.91224974,.055946045,.28728953,.88563728,.61788338,1,0,0,0,.9983926057622878,.001210108583601,.00049591538609,1.29571305983e-06
