time_s,cpu_t_degC,motor_command,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,WeightOnBit,DrillZ1Position_m,
1615154167.9159367,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1717.111111111124,1.25e-05,
1615154167.9500535,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.111111111124,1.25e-05,
1615154167.9744353,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.111111111124,1.25e-05,
1615154168.0069695,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.111111111124,1.25e-05,
1615154168.031354,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.111111111124,1.25e-05,
1615154168.0531738,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522.111111111124,1.25e-05,
1615154168.0740216,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522.111111111124,1.25e-05,
1615154168.1197133,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522.111111111124,1.25e-05,
1615154168.145591,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367.111111111124,1.25e-05,
1615154168.1699684,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367.111111111124,1.25e-05,
1615154168.1953087,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367.111111111124,1.25e-05,
1615154168.2274623,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367.111111111124,1.25e-05,
1615154168.2481976,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696.111111111124,1.25e-05,
1615154168.2915635,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1696.111111111124,1.25e-05,
1615154168.3398762,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2082.111111111124,1.25e-05,
1615154168.365791,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2082.111111111124,1.25e-05,
1615154168.3966374,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2082.111111111124,1.25e-05,
1615154168.4220438,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2082.111111111124,1.25e-05,
